"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.09,0.36,0.55,"CONTESILVIOO","MA",1,0.96,1.71,3.51,0,0.13,0.07,97,0,1,0,0,0
0.05,0.3,0.65,"CONTESILVIOO","MA",1,1.91,1.71,3.56,0,0.07,0.08,98,0,1,0,0,0
0.06,0.35,0.6,"CONTESILVIOO","MA",1,0.89,1.71,3.58,0,0.07,0.09,99,0,1,0,0,0
0.02,0.32,0.66,"CONTESILVIOO","MA",1,1.08,1.71,3.61,0,0.07,0.09,100,0,1,0,0,0
0.01,0.41,0.58,"CONTESILVIOO","MA",1,1.27,1.71,3.58,0,0.07,0.09,101,0,1,0,0,0
0.32,0.31,0.37,"CONTESILVIOO","MA",1,1.07,1.71,3.53,0,0.07,0.09,102,0,1,0,0,1
0.25,0.58,0.18,"DANIELSDOMINICKV","NJ",14,0.55,0.38,3.93,0,0.53,1.01,93,0,0,0,0,0
0.1,0.75,0.15,"DANIELSDOMINICKV","NJ",14,1.29,1.52,3.83,0,0.8,1.04,94,0,0,0,0,1
0.5,0.33,0.17,"DAVISGLENNR","WI",9,0.49,0.38,4.34,0,0.27,1.16,93,0,0,1,0,0
0.3,0.52,0.17,"DELANEYJAMESJ","NY",9,0.42,1.71,3.76,0,1.4,0.8,93,0,0,0,0,0
0.57,0.34,0.09,"DELANEYJAMESJ","NY",9,0.34,1.71,3.64,0,1.8,0.83,94,0,0,0,0,0
0.42,0.45,0.13,"DELANEYJAMESJ","NY",9,0.19,1.71,3.63,0,1.8,0.87,95,1,0,0,0,1
0.13,0.66,0.21,"DENTJOHNH","PA",21,0.47,0.49,4.31,0,0.87,0.87,93,0,0,0,0,0
0.18,0.65,0.17,"DENTJOHNH","PA",21,0.77,1.71,4.14,0,0.93,0.9,94,0,0,0,0,0
0.12,0.67,0.21,"DENTJOHNH","PA",21,0.36,0.43,4.14,0,1.07,0.94,95,0,0,0,0,1
0.1,0.48,0.42,"DERWINSKIEDWARDJ","IL",4,0.79,1.71,4.1,0,0.87,0.95,93,0,0,0,0,0
0.09,0.46,0.45,"DERWINSKIEDWARDJ","IL",4,0.36,1.71,4.18,0,0.73,0.98,94,0,1,0,0,0
0.09,0.49,0.42,"DERWINSKIEDWARDJ","IL",4,0.61,1.71,4.22,0,0.8,1.02,95,0,1,0,0,0
0.04,0.51,0.44,"DERWINSKIEDWARDJ","IL",4,0.65,1.71,4.02,0,0.87,0.98,96,0,1,0,0,0
0.04,0.51,0.44,"DERWINSKIEDWARDJ","IL",4,0.7,1.14,4.08,0,0.93,1.04,97,0,1,1,0,0
